"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"ES(SEP25)";"SELL";"-75";"-3";"2";"8,28";"6403,75";"6404,5";"2025-08-12 02:35:31";"2025-08-12 04:53:19";"8";"6";"600";"35655751304";"35655789704"
"ES(SEP25)";"SELL";"850";"34";"2";"8,28";"6415";"6406,5";"2025-08-11 12:10:09";"2025-08-11 12:40:30";"0,1";"1";"100";"35655462004";"35655505104"
"ES(SEP25)";"SELL";"-75";"-3";"2";"8,28";"6416,25";"6417";"2025-08-11 11:44:05";"2025-08-11 12:07:54";"4,3";"3,25";"325";"35655422404";"35655460904"
"ES(SEP25)";"BUY";"-400";"-16";"2";"8,28";"6414";"6410";"2025-08-11 10:21:40";"2025-08-11 10:39:38";"1,1";"4,25";"425";"35655289304";"35655309704"
"ES(SEP25)";"SELL";"500";"20";"2";"8,28";"6414";"6409";"2025-08-11 09:35:57";"2025-08-11 09:47:58";"0,3";"1,25";"125";"35655198204";"35655231804"
"ES(SEP25)";"BUY";"-400";"-16";"2";"8,28";"6417,75";"6413,75";"2025-08-11 09:08:26";"2025-08-11 09:35:36";"1,1";"4,5";"450";"35655105704";"35655198104"
"ES(SEP25)";"SELL";"-450";"-18";"2";"8,28";"6413,75";"6418,25";"2025-08-11 08:32:13";"2025-08-11 09:08:12";"1,3";"6";"600";"35654991404";"35655105504"
"ES(SEP25)";"SELL";"125";"5";"2";"8,28";"6398,5";"6397,25";"2025-08-08 10:50:56";"2025-08-08 10:52:06";"0,4";"0,5";"50";"35654428804";"35654429804"
"ES(SEP25)";"SELL";"400";"16";"2";"8,28";"6401,75";"6397,75";"2025-08-08 10:12:27";"2025-08-08 10:33:10";"1,1";"4,25";"425";"35654380704";"35654411104"
"ES(SEP25)";"BUY";"162,5";"13";"1";"4,14";"6397,25";"6400,5";"2025-08-08 08:54:44";"2025-08-08 08:58:13";"0,2";"0,75";"38";"35654258404";"35654265504"
"ES(SEP25)";"BUY";"175";"14";"1";"4,14";"6397";"6400,5";"2025-08-08 08:54:45";"2025-08-08 08:58:13";"0,1";"0,5";"25";"35654255604";"35654265504"
"ES(SEP25)";"SELL";"1025";"41";"2";"8,28";"6400,75";"6390,5";"2025-08-07 08:49:50";"2025-08-07 09:11:17";"1,2";"12";"1200";"35653401704";"35653485104"
